"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"mostly , [goldbacher] just lets her complicated characters be [[unruly]] , confusing and , through it all , [[human]] .","mostly , [goldbacher] just lets her complicated characters be [[remiss]] , confusing and , through it all , [[humanistic]] .",0.003577589988708496,0.589209794998169,1,0,1,45,"Successful"
". . . quite [[good]] at providing some good old fashioned spooks .",". . . quite [[adequate]] at providing some good old fashioned spooks .",0.006561458110809326,0.9885631203651428,1,0,1,28,"Successful"
"at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .","at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .",0.9916754961013794,0.9916754961013794,0,0,1,1,"Skipped"
"scherfig's light-hearted [[profile]] of [[emotional]] [[desperation]] is achingly [[honest]] and [[delightfully]] [[cheeky]] .","scherfig's light-hearted [[outline]] of [[affectionate]] [[wretchedness]] is achingly [[cordial]] and [[surprisingly]] [[vulgar]] .",0.0009391903877258301,0.9872974157333374,1,0,1,196,"Successful"
"a [[journey]] spanning [[nearly]] [[three]] decades of bittersweet [[camaraderie]] and history , in which we feel that we [[truly]] know what [[makes]] holly and marina tick , and our hearts go out to them as both [[continue]] to negotiate their imperfect , love-hate relationship .","a [[displacement]] spanning [[barely]] [[two]] decades of bittersweet [[friendship]] and history , in which we feel that we [[awfully]] know what [[paid]] holly and marina tick , and our hearts go out to them as both [[ceaseless]] to negotiate their imperfect , love-hate relationship .",0.0004743337631225586,0.9817408919334412,1,0,1,209,"Successful"
"the [[wonderfully]] lush morvern callar is pure punk existentialism , and ms . ramsay and her co-writer , liana dognini , have [[dramatized]] the alan warner novel , which itself felt like an answer to irvine welsh's book trainspotting .","the [[appallingly]] lush morvern callar is pure punk existentialism , and ms . ramsay and her co-writer , liana dognini , have [[dramatization]] the alan warner novel , which itself felt like an answer to irvine welsh's book trainspotting .",0.0008044838905334473,0.9895451664924622,1,0,1,79,"Successful"
"as it turns out , you can go [[home]] again .","as it turns out , you can go [[homing]] again .",0.0026433467864990234,0.7721520662307739,1,0,1,33,"Successful"
"you've already seen [[city]] by the [[sea]] under a [[variety]] of [[titles]] , but it's worth yet another [[visit]] .","you've already seen [[suburbs]] by the [[crewman]] under a [[serial]] of [[title]] , but it's worth yet another [[visiting]] .",0.007078230381011963,0.5503190755844116,1,0,1,112,"Successful"
"this kind of hands-on [[storytelling]] is [[ultimately]] what makes [[shanghai]] ghetto [[move]] beyond a [[good]] , dry , [[reliable]] [[textbook]] and what allows it to [[rank]] with its [[worthy]] [[predecessors]] .","this kind of hands-on [[narrator]] is [[maybe]] what makes [[shenzhen]] ghetto [[displacement]] beyond a [[buena]] , dry , [[reputable]] [[textbooks]] and what allows it to [[categorized]] with its [[laudable]] [[predecessor]] .",0.0011096596717834473,0.8882474303245544,1,0,1,278,"Successful"
"making such a tragedy the backdrop to a love story risks trivializing it , though chouraqui no doubt intended the film to affirm love's power to help people endure almost unimaginable horror .","making such a tragedy the backdrop to a love story risks trivializing it , though chouraqui no doubt intended the film to affirm love's power to help people endure almost unimaginable horror .",0.9852361083030701,0.9852361083030701,0,0,1,1,"Skipped"
"grown-up quibbles are beside the point here . the little girls [[understand]] , and mccracken [[knows]] that's all that matters .","grown-up quibbles are beside the point here . the little girls [[realising]] , and mccracken [[knew]] that's all that matters .",0.0294683575630188,0.531721830368042,1,0,1,67,"Successful"
"a [[powerful]] , chilling , and affecting [[study]] of one man's [[dying]] [[fall]] .","a [[reliable]] , chilling , and affecting [[consideration]] of one man's [[kiiled]] [[decreased]] .",0.0005973577499389648,0.7607746720314026,1,0,1,185,"Successful"
"this is a [[fascinating]] film because there is no clear-cut hero and no all-out villain .","this is a [[enigmatic]] film because there is no clear-cut hero and no all-out villain .",0.001008450984954834,0.9913463592529297,1,0,1,33,"Successful"
"a dreadful day in irish history is given [[passionate]] , if somewhat flawed , treatment .","a dreadful day in irish history is given [[greedy]] , if somewhat flawed , treatment .",0.0011037588119506836,0.9945431351661682,1,0,1,50,"Successful"
". . . a good film that must have baffled the folks in the marketing department .",". . . a good film that must have baffled the folks in the marketing department .",0.8603591918945312,0.8603591918945312,0,0,1,1,"Skipped"
". . . is funny in the [[way]] that [[makes]] you [[ache]] with [[sadness]] ( the way chekhov is [[funny]] ) , [[profound]] without ever being self-important , warm without ever [[succumbing]] to [[sentimentality]] .",". . . is funny in the [[manner]] that [[paid]] you [[headaches]] with [[wretchedness]] ( the way chekhov is [[comedian]] ) , [[heartfelt]] without ever being self-important , warm without ever [[indulging]] to [[fanfare]] .",0.00180739164352417,0.5880306959152222,1,0,1,209,"Successful"
"devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking .","devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking .",0.9990665316581726,0.9990665316581726,0,0,1,1,"Skipped"
"a soul-stirring documentary about the [[israeli]]/palestinian [[conflict]] as [[revealed]] through the [[eyes]] of some [[children]] who [[remain]] [[curious]] about [[each]] other against all [[odds]] .","a soul-stirring documentary about the [[israelis]]/palestinian [[hostilities]] as [[proved]] through the [[glance]] of some [[infantile]] who [[persists]] [[unfamiliar]] about [[every]] other against all [[probability]] .",0.00035202503204345703,0.0008143782615661621,1,1,1,269,"Failed"
"what's [[so]] [[striking]] about jolie's performance is that she never lets her character become a caricature -- not even with that radioactive hair .","what's [[even]] [[whopping]] about jolie's performance is that she never lets her character become a caricature -- not even with that radioactive hair .",0.0049231648445129395,0.6767690181732178,1,0,1,53,"Successful"
"the main story . . . is compelling enough , but it's difficult to shrug off the annoyance of that chatty fish .","the main story . . . is compelling enough , but it's difficult to shrug off the annoyance of that chatty fish .",0.9984562397003174,0.9984562397003174,0,0,1,1,"Skipped"
"the [[performances]] are [[immaculate]] , with roussillon [[providing]] comic relief .","the [[executions]] are [[spotless]] , with roussillon [[quotation]] comic relief .",0.005698561668395996,0.9978368282318115,1,0,1,73,"Successful"
"kinnear . . . gives his best [[screen]] [[performance]] with an oddly [[winning]] [[portrayal]] of one of life's [[ultimate]] losers .","kinnear . . . gives his best [[screening]] [[performing]] with an oddly [[wons]] [[similarity]] of one of life's [[finale]] losers .",0.0026885271072387695,0.6478553414344788,1,0,1,118,"Successful"
"hugh grant , who has a good line in charm , has never been more [[charming]] than in about a boy .","hugh grant , who has a good line in charm , has never been more [[purty]] than in about a boy .",0.007270872592926025,0.5244030952453613,1,0,1,50,"Successful"
"there's a lot of tooth in roger dodger . but what's [[nice]] is that there's a casual intelligence that [[permeates]] the script .","there's a lot of tooth in roger dodger . but what's [[leggy]] is that there's a casual intelligence that [[permeated]] the script .",0.007619500160217285,0.6996756196022034,1,0,1,81,"Successful"
"[[reminiscent]] of alfred hitchcock's thrillers , most of the scary parts in 'signs' occur while waiting for things to happen .","[[reliving]] of alfred hitchcock's thrillers , most of the scary parts in 'signs' occur while waiting for things to happen .",0.32386481761932373,0.8061178922653198,1,0,1,49,"Successful"
"one of the [[best]] looking and [[stylish]] [[animated]] [[movies]] in quite a while . . .","one of the [[preferable]] looking and [[slim]] [[plucky]] [[cinematographer]] in quite a while . . .",0.0006700754165649414,0.881415069103241,1,0,1,134,"Successful"
"its use of the thriller form to examine the labyrinthine ways in which people's lives cross and change , buffeted by events seemingly out of their control , is intriguing , [[provocative]] [[stuff]] .","its use of the thriller form to examine the labyrinthine ways in which people's lives cross and change , buffeted by events seemingly out of their control , is intriguing , [[problematic]] [[stratagem]] .",0.0004980564117431641,0.7076349258422852,1,0,1,46,"Successful"
"denver should not get the first and last look at one of the most triumphant performances of vanessa redgrave's career . it deserves to be seen everywhere .","denver should not get the first and last look at one of the most triumphant performances of vanessa redgrave's career . it deserves to be seen everywhere .",0.974237322807312,0.974237322807312,0,0,1,1,"Skipped"
"you needn't be steeped in '50s sociology , pop culture or movie lore to appreciate the emotional depth of haynes' work . though haynes' style apes films from the period . . . its message is not rooted in that decade .","you needn't be steeped in '50s sociology , pop culture or movie lore to appreciate the emotional depth of haynes' work . though haynes' style apes films from the period . . . its message is not rooted in that decade .",0.9890401363372803,0.9890401363372803,0,0,1,1,"Skipped"
"waiting for godard can be fruitful : 'in praise of love' is the director's [[epitaph]] for himself .","waiting for godard can be fruitful : 'in praise of love' is the director's [[headline]] for himself .",0.08642137050628662,0.9398542046546936,1,0,1,13,"Successful"
"a [[gangster]] [[movie]] with the capacity to [[surprise]] .","a [[crook]] [[kino]] with the capacity to [[stupor]] .",0.0011515617370605469,0.9995407462120056,1,0,1,115,"Successful"
"the film has a laundry list of minor shortcomings , but the [[numerous]] scenes of gory mayhem are worth the price of admission . . . if "" gory mayhem "" is your idea of a good [[time]] .","the film has a laundry list of minor shortcomings , but the [[numberless]] scenes of gory mayhem are worth the price of admission . . . if "" gory mayhem "" is your idea of a good [[dated]] .",0.01752835512161255,0.879082202911377,1,0,1,103,"Successful"
"if not a home [[run]] , then at least a solid base hit .","if not a home [[enforcement]] , then at least a solid base hit .",0.31747955083847046,0.7429491877555847,1,0,1,41,"Successful"
"goldmember is [[funny]] enough to justify the embarrassment of bringing a barf bag to the moviehouse .","goldmember is [[comical]] enough to justify the embarrassment of bringing a barf bag to the moviehouse .",0.014077305793762207,0.9343270659446716,1,0,1,42,"Successful"
". . . a fairly disposable yet still [[entertaining]] b picture .",". . . a fairly disposable yet still [[kidding]] b picture .",0.0021614432334899902,0.9991414546966553,1,0,1,36,"Successful"
"it may not [[be]] [[particularly]] [[innovative]] , but the film's [[crisp]] , unaffected [[style]] and air of [[gentle]] [[longing]] [[make]] it [[unexpectedly]] rewarding .","it may not [[sunt]] [[crucially]] [[creative]] , but the film's [[lucidity]] , unaffected [[layout]] and air of [[saggy]] [[volition]] [[perform]] it [[suspiciously]] rewarding .",0.0035057663917541504,0.6758428812026978,1,0,1,337,"Successful"
"the film [[truly]] does [[rescue]] [the funk brothers] from motown's shadows . it's about time .","the film [[awfully]] does [[stow]] [the funk brothers] from motown's shadows . it's about time .",0.004065394401550293,0.9965389370918274,1,0,1,73,"Successful"
"drawing on an [[irresistible]] , [[languid]] [[romanticism]] , byler [[reveals]] the ways in which a sultry evening or a beer-fueled afternoon in the sun can inspire even the most retiring heart to venture forth .","drawing on an [[gargantuan]] , [[lolling]] [[melodrama]] , byler [[betrays]] the ways in which a sultry evening or a beer-fueled afternoon in the sun can inspire even the most retiring heart to venture forth .",0.0005485415458679199,0.9420177936553955,1,0,1,127,"Successful"
"works because we're never sure if ohlinger's on the level or merely a dying , delusional man trying to get into the history books before he croaks .","works because we're never sure if ohlinger's on the level or merely a dying , delusional man trying to get into the history books before he croaks .",0.9988493919372559,0.9988493919372559,0,0,1,1,"Skipped"
"[scherfig] has made a movie that will leave you wondering about the characters' lives after the clever credits roll .","[scherfig] has made a movie that will leave you wondering about the characters' lives after the clever credits roll .",0.6554698348045349,0.6554698348045349,0,0,1,1,"Skipped"
"a [[heady]] , biting , be-bop [[ride]] through [[nighttime]] [[manhattan]] , a loquacious videologue of the [[modern]] [[male]] and the lengths to which he'll go to [[weave]] a [[protective]] [[cocoon]] around his own ego .","a [[raucous]] , biting , be-bop [[torre]] through [[slept]] [[midtown]] , a loquacious videologue of the [[upgraded]] [[humans]] and the lengths to which he'll go to [[spun]] a [[precautionary]] [[worm]] around his own ego .",0.0004070401191711426,0.9693087339401245,1,0,1,202,"Successful"
"[[skin]] of man [[gets]] a few cheap [[shocks]] from its kids-in-peril [[theatrics]] , but it also taps into the [[primal]] [[fears]] of [[young]] [[people]] trying to cope with the [[mysterious]] and brutal [[nature]] of adults .","[[peeled]] of man [[procured]] a few cheap [[shocked]] from its kids-in-peril [[mawkish]] , but it also taps into the [[primitive]] [[fear]] of [[childish]] [[capita]] trying to cope with the [[uncertain]] and brutal [[sort]] of adults .",0.0013831853866577148,0.5276281833648682,1,0,1,288,"Successful"
"the piano teacher is not an [[easy]] film . it forces you to watch people doing unpleasant things to each other and themselves , and it maintains a cool distance from its material that is deliberately unsettling .","the piano teacher is not an [[smoothly]] film . it forces you to watch people doing unpleasant things to each other and themselves , and it maintains a cool distance from its material that is deliberately unsettling .",0.0011678338050842285,0.8292564749717712,1,0,1,27,"Successful"
"as [[refreshing]] as a drink from a woodland stream .","as [[retrofit]] as a drink from a woodland stream .",0.0046125054359436035,0.9991223216056824,1,0,1,36,"Successful"
"williams [[absolutely]] nails sy's queasy infatuation and overall strangeness .","williams [[flatly]] nails sy's queasy infatuation and overall strangeness .",0.0038730502128601074,0.9980096817016602,1,0,1,56,"Successful"
"can i [[admit]] xxx is as deep as a petri dish and as well-characterized as a telephone book but still say it was a guilty [[pleasure]] ?","can i [[admits]] xxx is as deep as a petri dish and as well-characterized as a telephone book but still say it was a guilty [[amusing]] ?",0.02572566270828247,0.6243917942047119,1,0,1,53,"Successful"
"while it's nothing we haven't seen before from murphy , i spy is still [[fun]] and enjoyable and so aggressively silly that it's more than a [[worthwhile]] effort .","while it's nothing we haven't seen before from murphy , i spy is still [[recreational]] and enjoyable and so aggressively silly that it's more than a [[meaningful]] effort .",0.005792140960693359,0.7572932243347168,1,0,1,91,"Successful"
"by the time it ends in a rush of sequins , flashbulbs , blaring brass and back-stabbing babes , it has said plenty about how show business has infiltrated every corner of society -- and not always for the better .","by the time it ends in a rush of sequins , flashbulbs , blaring brass and back-stabbing babes , it has said plenty about how show business has infiltrated every corner of society -- and not always for the better .",0.9225411415100098,0.9225411415100098,0,0,1,1,"Skipped"
"an [[intimate]] contemplation of two marvelously messy lives .","an [[squeamish]] contemplation of two marvelously messy lives .",0.0005171298980712891,0.9875776767730713,1,0,1,14,"Successful"
"rarely has skin looked as beautiful , desirable , even delectable , as it does in trouble every day .","rarely has skin looked as beautiful , desirable , even delectable , as it does in trouble every day .",0.7881652116775513,0.7881652116775513,0,0,1,1,"Skipped"
"this is one of those rare [[docs]] that paints a [[grand]] [[picture]] of an [[era]] and makes the [[journey]] feel like a party .","this is one of those rare [[doctor]] that paints a [[gargantuan]] [[filming]] of an [[period]] and makes the [[trip]] feel like a party .",0.0005081892013549805,0.968778133392334,1,0,1,148,"Successful"
"[[poignant]] if familiar story of a young person suspended between two cultures .","[[nagging]] if familiar story of a young person suspended between two cultures .",0.000722348690032959,0.9990260601043701,1,0,1,45,"Successful"
"a metaphor for a modern-day urban china searching for its [[identity]] .","a metaphor for a modern-day urban china searching for its [[characterization]] .",0.0007273554801940918,0.7471063137054443,1,0,1,18,"Successful"
"for all its [[brooding]] quality , ash wednesday is [[suspenseful]] and ultimately unpredictable , with a sterling ensemble cast .","for all its [[broods]] quality , ash wednesday is [[cliffhanger]] and ultimately unpredictable , with a sterling ensemble cast .",0.0017310380935668945,0.8140467405319214,1,0,1,44,"Successful"
"an odd drama set in the world of lingerie models and bar dancers in the midwest that [[held]] my interest precisely because it didn't try to .","an odd drama set in the world of lingerie models and bar dancers in the midwest that [[convene]] my interest precisely because it didn't try to .",0.12193506956100464,0.9946849942207336,1,0,1,60,"Successful"
"the film feels uncomfortably real , its language and locations bearing the unmistakable stamp of [[authority]] .","the film feels uncomfortably real , its language and locations bearing the unmistakable stamp of [[authorities]] .",0.024508893489837646,0.7288217544555664,1,0,1,34,"Successful"
"[[despite]] its [[faults]] , [[gangs]] excels in [[spectacle]] and pacing .","[[unless]] its [[demerits]] , [[cassettes]] excels in [[spectacles]] and pacing .",0.0010016560554504395,0.9973999857902527,1,0,1,141,"Successful"
"[[entertaining]] despite its one-joke premise with the thesis that women from venus and men from mars can indeed get together .","[[entertained]] despite its one-joke premise with the thesis that women from venus and men from mars can indeed get together .",0.0031891465187072754,0.781145453453064,1,0,1,39,"Successful"
"a tightly directed , [[highly]] professional [[film]] that's old-fashioned in all the best possible ways .","a tightly directed , [[severely]] professional [[image]] that's old-fashioned in all the best possible ways .",0.0007182955741882324,0.9990326762199402,1,0,1,99,"Successful"
"it's [[dark]] but [[has]] [[wonderfully]] [[funny]] [[moments]] ; you [[care]] about the characters ; and the [[action]] and [[special]] [[effects]] are first-rate .","it's [[dimming]] but [[owns]] [[oddly]] [[kidding]] [[temps]] ; you [[caring]] about the characters ; and the [[operating]] and [[certain]] [[impacted]] are first-rate .",0.0012413263320922852,0.8739903569221497,1,0,1,278,"Successful"
"in [[visual]] fertility [[treasure]] planet rivals the top [[japanese]] animations of [[recent]] vintage .","in [[video]] fertility [[exchequer]] planet rivals the top [[ueno]] animations of [[last]] vintage .",0.0011481046676635742,0.6754374504089355,1,0,1,82,"Successful"
"[[enormously]] [[enjoyable]] , high-adrenaline [[documentary]] .","[[noticeably]] [[droll]] , high-adrenaline [[paperwork]] .",0.000728905200958252,0.9994108080863953,1,0,1,111,"Successful"
"buy is an accomplished actress , and this is a big , [[juicy]] role .","buy is an accomplished actress , and this is a big , [[crusty]] role .",0.000790715217590332,0.9964366555213928,1,0,1,15,"Successful"
"it [[works]] its magic with such exuberance and [[passion]] that the film's [[length]] [[becomes]] a part of its fun .","it [[labor]] its magic with such exuberance and [[emotions]] that the film's [[lengths]] [[buys]] a part of its fun .",0.0004540085792541504,0.9988853335380554,1,0,1,128,"Successful"
"[[beautifully]] [[crafted]] and [[brutally]] honest , [[promises]] [[offers]] an unexpected window into the [[complexities]] of the [[middle]] [[east]] [[struggle]] and into the humanity of its people .","[[unbelievably]] [[fabricated]] and [[hastily]] honest , [[dedication]] [[proposing]] an unexpected window into the [[technicalities]] of the [[average]] [[eastern]] [[hostilities]] and into the humanity of its people .",0.0007675886154174805,0.9619801640510559,1,0,1,283,"Successful"
"an old-fashioned but [[emotionally]] [[stirring]] [[adventure]] [[tale]] of the kind they [[rarely]] [[make]] [[anymore]] .","an old-fashioned but [[physiologically]] [[irate]] [[affair]] [[mythical]] of the kind they [[habitually]] [[render]] [[extras]] .",0.0016775727272033691,0.9996337890625,1,0,1,207,"Successful"
"charlotte [[sometimes]] is a gem . it's [[always]] [[enthralling]] .","charlotte [[rarely]] is a gem . it's [[stubbornly]] [[puzzling]] .",0.0015751123428344727,0.9983866810798645,1,0,1,105,"Successful"
"in my opinion , analyze that is not as funny or entertaining as analyze this , but it is a [[respectable]] sequel .","in my opinion , analyze that is not as funny or entertaining as analyze this , but it is a [[reputable]] sequel .",0.010913968086242676,0.9969849586486816,1,0,1,45,"Successful"
"a [[remarkable]] film by bernard rose .","a [[unpaid]] film by bernard rose .",0.00043267011642456055,0.9994233846664429,1,0,1,46,"Successful"
"zhuangzhuang creates delicate balance of style , text , and subtext that's so simple and precise that anything discordant would topple the balance , but against all odds , nothing does .","zhuangzhuang creates delicate balance of style , text , and subtext that's so simple and precise that anything discordant would topple the balance , but against all odds , nothing does .",0.5336251258850098,0.5336251258850098,0,0,1,1,"Skipped"
"a much more [[successful]] translation than its most famous previous film adaptation , writer-director anthony friedman's similarly updated 1970 british production .","a much more [[fecund]] translation than its most famous previous film adaptation , writer-director anthony friedman's similarly updated 1970 british production .",0.0013985037803649902,0.9783350825309753,1,0,1,57,"Successful"
"an [[original]] and highly cerebral [[examination]] of the [[psychopathic]] mind","an [[initial]] and highly cerebral [[scrutinized]] of the [[maniacal]] mind",0.0003210306167602539,0.9876711964607239,1,0,1,79,"Successful"
"michel piccoli's [[moving]] performance is this films reason for being .","michel piccoli's [[displaced]] performance is this films reason for being .",0.0006866455078125,0.9980825185775757,1,0,1,54,"Successful"
"a [[captivating]] and [[intimate]] [[study]] about [[dying]] and [[loving]] . . .","a [[eloquent]] and [[cozy]] [[consideration]] about [[casualties]] and [[affectionate]] . . .",0.0006464123725891113,0.00594717264175415,1,1,1,161,"Failed"
"this is an elegantly balanced movie -- every member of the ensemble has something fascinating to do -- that doesn't reveal even a hint of artifice .","this is an elegantly balanced movie -- every member of the ensemble has something fascinating to do -- that doesn't reveal even a hint of artifice .",0.989652693271637,0.989652693271637,0,0,1,1,"Skipped"
"[[[grant]]] goes beyond his usual [[fluttering]] and [[stammering]] and [[captures]] the [[soul]] of a [[man]] in [[pain]] who [[gradually]] [[comes]] to [[recognize]] it and [[deal]] with it .","[[[subsides]]] goes beyond his usual [[twitched]] and [[inarticulate]] and [[catches]] the [[geist]] of a [[dawg]] in [[agony]] who [[consistently]] [[happens]] to [[appreciate]] it and [[handles]] with it .",0.0006490349769592285,0.9741736650466919,1,0,1,415,"Successful"
"a high-spirited buddy [[movie]] about the [[reunion]] of berlin anarchists who [[face]] arrest 15 [[years]] after their crime .","a high-spirited buddy [[photographed]] about the [[pooled]] of berlin anarchists who [[matched]] arrest 15 [[seniors]] after their crime .",0.0005761384963989258,0.7677351236343384,1,0,1,132,"Successful"
"about the best thing you could say about narc is that it's a rock-solid little [[genre]] picture . whether you like it or not is basically a matter of taste .","about the best thing you could say about narc is that it's a rock-solid little [[type]] picture . whether you like it or not is basically a matter of taste .",0.015955448150634766,0.7033676505088806,1,0,1,17,"Successful"
"an involving , inspirational drama that sometimes falls prey to its sob-story trappings .","an involving , inspirational drama that sometimes falls prey to its sob-story trappings .",0.9815040230751038,0.9815040230751038,0,0,1,1,"Skipped"
"some of the most [[inventive]] silliness you are likely to witness in a movie theatre for some time .","some of the most [[innovator]] silliness you are likely to witness in a movie theatre for some time .",0.011319518089294434,0.9852041006088257,1,0,1,44,"Successful"
"[[canadian]] [[filmmaker]] gary burns' [[inventive]] and mordantly [[humorous]] [[take]] on the soullessness of [[work]] in the [[city]] .","[[calgary]] [[superintendent]] gary burns' [[ingenuity]] and mordantly [[funny]] [[bringing]] on the soullessness of [[acted]] in the [[stadt]] .",0.0005436539649963379,0.003962039947509766,1,1,1,193,"Failed"
"a rollicking [[ride]] , with jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology , [[stirring]] music and a boffo last hour that leads up to a strangely [[sinister]] happy ending .","a rollicking [[wrinkle]] , with jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology , [[irate]] music and a boffo last hour that leads up to a strangely [[nagging]] happy ending .",0.000586390495300293,0.8346874117851257,1,0,1,103,"Successful"
"everyone's insecure in [[lovely]] and amazing , a [[poignant]] and wryly amusing film about [[mothers]] , [[daughters]] and their [[relationships]] .","everyone's insecure in [[beautiful]] and amazing , a [[nagging]] and wryly amusing film about [[daisies]] , [[missus]] and their [[report]] .",0.00042110681533813477,0.7578111886978149,1,0,1,177,"Successful"
"the closest thing to the [[experience]] of space travel","the closest thing to the [[pilot]] of space travel",0.14834755659103394,0.9847158789634705,1,0,1,31,"Successful"
"full of [[surprises]] .","full of [[stumped]] .",0.000799715518951416,0.9995602965354919,1,0,1,21,"Successful"
"connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not [[withered]] during his enforced hiatus .","connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not [[moldering]] during his enforced hiatus .",0.005985081195831299,0.956718921661377,1,0,1,48,"Successful"
"if you can push on through the slow spots , you'll be [[rewarded]] with some fine [[acting]] .","if you can push on through the slow spots , you'll be [[recompense]] with some fine [[interim]] .",0.006566643714904785,0.5990602970123291,1,0,1,37,"Successful"
"an unusually dry-eyed , even analytical approach to material that is generally played for maximum moisture .","an unusually dry-eyed , even analytical approach to material that is generally played for maximum moisture .",0.5032203197479248,0.5032203197479248,0,0,1,1,"Skipped"
"symbolically , [[warm]] [[water]] under a [[red]] [[bridge]] is a [[celebration]] of feminine [[energy]] , a tribute to the power of [[women]] to heal .","symbolically , [[lukewarm]] [[hydraulic]] under a [[flushed]] [[overpass]] is a [[ceremonial]] of feminine [[wattage]] , a tribute to the power of [[hens]] to heal .",0.0007715225219726562,0.5058079957962036,1,0,1,184,"Successful"
"spy kids 2 also happens to be that rarity among sequels : it actually [[improves]] upon the [[original]] hit movie .","spy kids 2 also happens to be that rarity among sequels : it actually [[fosters]] upon the [[rudimentary]] hit movie .",0.0009838342666625977,0.9487898945808411,1,0,1,73,"Successful"
"exceptionally [[well]] acted by diane lane and richard gere .","exceptionally [[opportune]] acted by diane lane and richard gere .",0.0008056759834289551,0.9757459759712219,1,0,1,42,"Successful"
"like a precious and finely cut diamond , magnificent to behold in its sparkling beauty yet in reality it's one tough rock .","like a precious and finely cut diamond , magnificent to behold in its sparkling beauty yet in reality it's one tough rock .",0.9972833395004272,0.9972833395004272,0,0,1,1,"Skipped"
"in addition to scoring [[high]] for originality of plot -- putting together familiar themes of family , forgiveness and love in a new way -- lilo & stitch [[has]] a number of other assets to commend it to movie audiences both [[innocent]] and jaded .","in addition to scoring [[widest]] for originality of plot -- putting together familiar themes of family , forgiveness and love in a new way -- lilo & stitch [[did]] a number of other assets to commend it to movie audiences both [[innocuous]] and jaded .",0.001262962818145752,0.6018896102905273,1,0,1,74,"Successful"
