"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Premise]]]]: The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the wall to the new town.<SPLIT>[[[[Hypothesis]]]]: Go downwards to one of the gates, all of which will lead you into the cathedral.","[[[[Premise]]]]: The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the wall to the new town.<SPLIT>[[[[Hypothesis]]]]: Go downwards to one of the gates, all of which will lead you into the cathedral.",0.7370283603668213,0.7370283603668213,1,1,0,1,"Skipped"
"[[[[Premise]]]]: The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism.<SPLIT>[[[[Hypothesis]]]]: The Tamils' bhakti movement [[froze]] the previously warm ritual of Hinduism.","[[[[Premise]]]]: The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism.<SPLIT>[[[[Hypothesis]]]]: The Tamils' bhakti movement [[latched]] the previously warm ritual of Hinduism.",0.016506314277648926,0.8251485228538513,0,1,0,45,"Successful"
"[[[[Premise]]]]: see now in a situation like that the boys are only sixteen years old and they were sexually involved with her and i think like at that particular point she was twenty three you know so she wasn't really that much older than them and being a boy at that age i think that they're very um you know let's face it that's at a point in your life when you you're just starting to realize all the things of life<SPLIT>[[[[Hypothesis]]]]: [[Everyone]] [[involved]] was the same age.","[[[[Premise]]]]: see now in a situation like that the boys are only sixteen years old and they were sexually involved with her and i think like at that particular point she was twenty three you know so she wasn't really that much older than them and being a boy at that age i think that they're very um you know let's face it that's at a point in your life when you you're just starting to realize all the things of life<SPLIT>[[[[Hypothesis]]]]: [[Someone]] [[involve]] was the same age.",0.003500699996948242,0.6893310546875,0,1,0,68,"Successful"
"[[[[Premise]]]]: You and your friends are not welcome here, said Severn.<SPLIT>[[[[Hypothesis]]]]: Severn [[said]] the people were not [[welcome]] there.","[[[[Premise]]]]: You and your friends are not welcome here, said Severn.<SPLIT>[[[[Hypothesis]]]]: Severn [[clarified]] the people were not [[appreciative]] there.",0.0065184831619262695,0.6412574052810669,1,2,1,61,"Successful"
"[[[[Premise]]]]: um-hum um-hum yeah well uh i can see you know it's it's it's it's kind of funny because we it seems like we loan money you know we money with strings attached and if the government changes and the country that we loan the money to um i can see why the might have a different attitude towards paying it back it's a lot us that  you know we don't really loan money to to countries we loan money to governments and it's the<SPLIT>[[[[Hypothesis]]]]: We don't loan a lot of money.","[[[[Premise]]]]: um-hum um-hum yeah well uh i can see you know it's it's it's it's kind of funny because we it seems like we loan money you know we money with strings attached and if the government changes and the country that we loan the money to um i can see why the might have a different attitude towards paying it back it's a lot us that  you know we don't really loan money to to countries we loan money to governments and it's the<SPLIT>[[[[Hypothesis]]]]: We don't loan a lot of money.",0.7926260232925415,0.7926260232925415,0,0,2,1,"Skipped"
"[[[[Premise]]]]: i'm not sure what the overnight low was<SPLIT>[[[[Hypothesis]]]]: I don't know how cold it got last night.","[[[[Premise]]]]: i'm not sure what the overnight low was<SPLIT>[[[[Hypothesis]]]]: I don't know how cold it got last night.",0.9887821674346924,0.9887821674346924,2,2,1,1,"Skipped"
"[[[[Premise]]]]: so i have to find a way to supplement that<SPLIT>[[[[Hypothesis]]]]: I need a [[way]] to add something extra.","[[[[Premise]]]]: so i have to find a way to supplement that<SPLIT>[[[[Hypothesis]]]]: I need a [[chemin]] to add something extra.",0.00973498821258545,0.9943809509277344,1,2,1,41,"Successful"
"[[[[Premise]]]]: the hologram makes up all these things and uh i mean sometimes  sometimes it's funny sometimes it's not but uh you know it's something to pass the time until we do and then and then we watch football<SPLIT>[[[[Hypothesis]]]]: [[Sometimes]] it is amusing to see what the hologram creates.","[[[[Premise]]]]: the hologram makes up all these things and uh i mean sometimes  sometimes it's funny sometimes it's not but uh you know it's something to pass the time until we do and then and then we watch football<SPLIT>[[[[Hypothesis]]]]: [[Rare]] it is amusing to see what the hologram creates.",0.03262597322463989,0.9434075951576233,1,2,1,38,"Successful"
"[[[[Premise]]]]: 5 The share of gross national saving used to replace depreciated capital has increased over the past 40 years.<SPLIT>[[[[Hypothesis]]]]: Gross national saving was [[highest]] this year.","[[[[Premise]]]]: 5 The share of gross national saving used to replace depreciated capital has increased over the past 40 years.<SPLIT>[[[[Hypothesis]]]]: Gross national saving was [[gravest]] this year.",0.24454361200332642,0.5884537696838379,2,0,2,22,"Successful"
"[[[[Premise]]]]: So far, however, the number of mail pieces lost to alternative bill-paying methods is too small to have any material impact on First-Class volume.<SPLIT>[[[[Hypothesis]]]]: The amount of [[lost]] mail is [[huge]] and [[really]] impacts mail volume","[[[[Premise]]]]: So far, however, the number of mail pieces lost to alternative bill-paying methods is too small to have any material impact on First-Class volume.<SPLIT>[[[[Hypothesis]]]]: The amount of [[loss]] mail is [[important]] and [[truthfully]] impacts mail volume",0.0021272897720336914,0.5448896884918213,0,2,0,100,"Successful"
"[[[[Premise]]]]: you want to punch the button and go<SPLIT>[[[[Hypothesis]]]]: You don't want to push the button [[lightly]], but rather punch it hard.","[[[[Premise]]]]: you want to punch the button and go<SPLIT>[[[[Hypothesis]]]]: You don't want to push the button [[moderately]], but rather punch it hard.",0.05512356758117676,0.5676219463348389,2,0,2,57,"Successful"
"[[[[Premise]]]]: Buffet and a  la carte available.<SPLIT>[[[[Hypothesis]]]]: It has a [[buffet]].","[[[[Premise]]]]: Buffet and a  la carte available.<SPLIT>[[[[Hypothesis]]]]: It has a [[cupboard]].",0.016206324100494385,0.9978563785552979,1,0,1,13,"Successful"
"[[[[Premise]]]]: Blue says Blumenthal claimed Clinton had told him that Lewinsky had made unwanted sexual advances.<SPLIT>[[[[Hypothesis]]]]: Clinton said that Monica [[Lewinsky]] made unwanted sexual advances during her time as a journalist in the White House. ","[[[[Premise]]]]: Blue says Blumenthal claimed Clinton had told him that Lewinsky had made unwanted sexual advances.<SPLIT>[[[[Hypothesis]]]]: Clinton said that Monica [[Extramarital]] made unwanted sexual advances during her time as a journalist in the White House. ",0.016708672046661377,0.5257507562637329,2,0,2,15,"Successful"
"[[[[Premise]]]]: We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission-related outcomes.<SPLIT>[[[[Hypothesis]]]]: Leading organizations want to be sure their employees are safe.","[[[[Premise]]]]: We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission-related outcomes.<SPLIT>[[[[Hypothesis]]]]: Leading organizations want to be sure their employees are safe.",0.793095052242279,0.793095052242279,0,0,2,1,"Skipped"
"[[[[Premise]]]]: oh uh-huh well no they wouldn't would they no<SPLIT>[[[[Hypothesis]]]]: No, they wouldn't [[go]] there.","[[[[Premise]]]]: oh uh-huh well no they wouldn't would they no<SPLIT>[[[[Hypothesis]]]]: No, they wouldn't [[volition]] there.",0.1159747838973999,0.8971814513206482,2,1,2,21,"Successful"
"[[[[Premise]]]]: Sorry but that's how it is.<SPLIT>[[[[Hypothesis]]]]: This is how things are and there are no [[apologies]] about it.","[[[[Premise]]]]: Sorry but that's how it is.<SPLIT>[[[[Hypothesis]]]]: This is how things are and there are no [[apologise]] about it.",0.08436203002929688,0.9846376180648804,0,2,0,9,"Successful"
"[[[[Premise]]]]: Not quite as large is the Papal Crose commemorating Pope John Paul II's visit in 1979, when more than one million people gathered to celebrate mass.<SPLIT>[[[[Hypothesis]]]]: [[Pope]] [[John]] [[Paul]] II also [[visited]] in 1983.","[[[[Premise]]]]: Not quite as large is the Papal Crose commemorating Pope John Paul II's visit in 1979, when more than one million people gathered to celebrate mass.<SPLIT>[[[[Hypothesis]]]]: [[Grandpa]] [[Juni]] [[Paulus]] II also [[flew]] in 1983.",0.011614441871643066,0.25123709440231323,2,2,2,91,"Failed"
"[[[[Premise]]]]: The tourist industry continued to expand, and though it became one of the top two income earners in Spain, a realization that unrestricted mass tourism was leading to damaging long-term consequences also began to grow.<SPLIT>[[[[Hypothesis]]]]: [[Tourism]] is not very big in [[Spain]].","[[[[Premise]]]]: The tourist industry continued to expand, and though it became one of the top two income earners in Spain, a realization that unrestricted mass tourism was leading to damaging long-term consequences also began to grow.<SPLIT>[[[[Hypothesis]]]]: [[Trekking]] is not very big in [[Spaniard]].",0.016432762145996094,0.5302456617355347,0,2,0,52,"Successful"
"[[[[Premise]]]]: She seemed so different  ""<SPLIT>[[[[Hypothesis]]]]: She had [[changed]] a [[lot]] since the last time we'd [[seen]] her.","[[[[Premise]]]]: She seemed so different  ""<SPLIT>[[[[Hypothesis]]]]: She had [[alteration]] a [[multiple]] since the last time we'd [[remarked]] her.",0.009366154670715332,0.5020480155944824,2,1,2,104,"Successful"
"[[[[Premise]]]]: i'm not opposed to it but when its when the time is right it will probably just kind of happen you know<SPLIT>[[[[Hypothesis]]]]: I cannot wait for it to happen.","[[[[Premise]]]]: i'm not opposed to it but when its when the time is right it will probably just kind of happen you know<SPLIT>[[[[Hypothesis]]]]: I cannot wait for it to happen.",0.9534772038459778,0.9534772038459778,0,0,2,1,"Skipped"
"[[[[Premise]]]]: The census of 1931 served as an alarm signal for the Malay national consciousness.<SPLIT>[[[[Hypothesis]]]]: The 1931 Malay census was an [[alarm]] bell.","[[[[Premise]]]]: The census of 1931 served as an alarm signal for the Malay national consciousness.<SPLIT>[[[[Hypothesis]]]]: The 1931 Malay census was an [[detector]] bell.",0.010797321796417236,0.9793242812156677,1,0,1,44,"Successful"
"[[[[Premise]]]]: Mortifyingly enough, it is all  the difficulty, the laziness, the pathetic formlessness in youth, the round peg in the square hole, the whatever do you want?<SPLIT>[[[[Hypothesis]]]]: Many youth are lazy.","[[[[Premise]]]]: Mortifyingly enough, it is all  the difficulty, the laziness, the pathetic formlessness in youth, the round peg in the square hole, the whatever do you want?<SPLIT>[[[[Hypothesis]]]]: Many youth are lazy.",0.7909362316131592,0.7909362316131592,2,2,1,1,"Skipped"
"[[[[Premise]]]]: Conversely, an increase in government saving adds to the supply of resources available for investment and may put downward pressure on interest rates.<SPLIT>[[[[Hypothesis]]]]: Interest rates should increase to increase saving.","[[[[Premise]]]]: Conversely, an increase in government saving adds to the supply of resources available for investment and may put downward pressure on interest rates.<SPLIT>[[[[Hypothesis]]]]: Interest rates should increase to increase saving.",0.6051620841026306,0.6051620841026306,2,2,0,1,"Skipped"
"[[[[Premise]]]]: Britain's best-selling tabloid, the Sun , announced as a front-page world exclusive Friday that Texan model Jerry Hall has started divorce proceedings against aging rock star Mick Jagger at the High Court in London.<SPLIT>[[[[Hypothesis]]]]: There is a British publication called the [[Sun]].","[[[[Premise]]]]: Britain's best-selling tabloid, the Sun , announced as a front-page world exclusive Friday that Texan model Jerry Hall has started divorce proceedings against aging rock star Mick Jagger at the High Court in London.<SPLIT>[[[[Hypothesis]]]]: There is a British publication called the [[Soleil]].",0.006175637245178223,0.9368427991867065,1,0,1,17,"Successful"
"[[[[Premise]]]]: He was of two minds, one reveled in the peace of this village.<SPLIT>[[[[Hypothesis]]]]: He loved how [[peaceful]] the [[village]] was.","[[[[Premise]]]]: He was of two minds, one reveled in the peace of this village.<SPLIT>[[[[Hypothesis]]]]: He loved how [[paix]] the [[chuen]] was.",0.05115914344787598,0.9817540049552917,1,2,1,25,"Successful"
"[[[[Premise]]]]: The vineyards hug the gentle slopes between the Vosges and the Rhine Valley along a single narrow 120-km (75-mile) strip that stretches from Marlenheim, just west of Strasbourg, down to Thann, outside Mulhouse.<SPLIT>[[[[Hypothesis]]]]: The slopes between the Vosges and Rhine Valley are the only place appropriate for [[vineyards]].","[[[[Premise]]]]: The vineyards hug the gentle slopes between the Vosges and the Rhine Valley along a single narrow 120-km (75-mile) strip that stretches from Marlenheim, just west of Strasbourg, down to Thann, outside Mulhouse.<SPLIT>[[[[Hypothesis]]]]: The slopes between the Vosges and Rhine Valley are the only place appropriate for [[farmhouses]].",0.009091854095458984,0.8244763016700745,2,0,2,36,"Successful"
"[[[[Premise]]]]: We did not study the reasons for these deviations specifically, but they likely result from the context in which federal CIOs operate.<SPLIT>[[[[Hypothesis]]]]: These deviations mostly [[involve]] [[failure]] to [[apply]] software [[updates]] in a [[timely]] [[manner]].","[[[[Premise]]]]: We did not study the reasons for these deviations specifically, but they likely result from the context in which federal CIOs operate.<SPLIT>[[[[Hypothesis]]]]: These deviations mostly [[embroiled]] [[absence]] to [[implantation]] software [[modernize]] in a [[readily]] [[fashion]].",0.004880547523498535,0.8518874645233154,2,0,2,218,"Successful"
"[[[[Premise]]]]: Rouen is the ancient center of Normandy's thriving textile industry, and the place of Joan of Arc's martyrdom ' a national symbol of resistance to tyranny.<SPLIT>[[[[Hypothesis]]]]: Joan of Arc sacrificed her life at Rouen, which became an enduring symbol of [[opposition]] to tyranny.","[[[[Premise]]]]: Rouen is the ancient center of Normandy's thriving textile industry, and the place of Joan of Arc's martyrdom ' a national symbol of resistance to tyranny.<SPLIT>[[[[Hypothesis]]]]: Joan of Arc sacrificed her life at Rouen, which became an enduring symbol of [[uto]] to tyranny.",0.28694361448287964,0.7206075191497803,1,2,1,34,"Successful"
"[[[[Premise]]]]: Table 2: Examples of BLM's, FHWA's, IRS's, and VBA's Customer Satisfaction Expectations for Senior Executive Performance<SPLIT>[[[[Hypothesis]]]]: Senior Executive's have been studies on various aspects to reach the expectations.","[[[[Premise]]]]: Table 2: Examples of BLM's, FHWA's, IRS's, and VBA's Customer Satisfaction Expectations for Senior Executive Performance<SPLIT>[[[[Hypothesis]]]]: Senior Executive's have been studies on various aspects to reach the expectations.",0.9675189256668091,0.9675189256668091,2,2,1,1,"Skipped"
"[[[[Premise]]]]: In Hong Kong you can have a plate, or even a whole dinner service, hand-painted to your own design.<SPLIT>[[[[Hypothesis]]]]: It's [[impossible]] to have a plate hand-painted to your [[own]] design in Hong [[Kong]].","[[[[Premise]]]]: In Hong Kong you can have a plate, or even a whole dinner service, hand-painted to your own design.<SPLIT>[[[[Hypothesis]]]]: It's [[unrealistic]] to have a plate hand-painted to your [[individual]] design in Hong [[Hong]].",0.0034348368644714355,0.5204432010650635,0,2,0,49,"Successful"
"[[[[Premise]]]]: There are a number of expensive jewelry and other duty-free shops, all with goods priced in US dollars (duty-free goods must always be paid for in foreign currency).<SPLIT>[[[[Hypothesis]]]]: Jewelry and duty-free shops are an [[interesting]] place to buy goods.","[[[[Premise]]]]: There are a number of expensive jewelry and other duty-free shops, all with goods priced in US dollars (duty-free goods must always be paid for in foreign currency).<SPLIT>[[[[Hypothesis]]]]: Jewelry and duty-free shops are an [[noteworthy]] place to buy goods.",0.2449151873588562,0.8473559617996216,2,1,2,51,"Successful"
"[[[[Premise]]]]: What's truly striking, though, is that Jobs has never really let this idea go.<SPLIT>[[[[Hypothesis]]]]: Jobs never held onto an idea for [[long]].","[[[[Premise]]]]: What's truly striking, though, is that Jobs has never really let this idea go.<SPLIT>[[[[Hypothesis]]]]: Jobs never held onto an idea for [[longer]].",0.49858206510543823,0.9144007563591003,0,1,0,16,"Successful"
"[[[[Premise]]]]: While it's probably true that democracies are unlikely to go to war unless they're attacked, sometimes they are the first to take the offensive.<SPLIT>[[[[Hypothesis]]]]: Democracies probably won't go to war unless someone attacks them on their soil","[[[[Premise]]]]: While it's probably true that democracies are unlikely to go to war unless they're attacked, sometimes they are the first to take the offensive.<SPLIT>[[[[Hypothesis]]]]: Democracies probably won't go to war unless someone attacks them on their soil",0.7491963505744934,0.7491963505744934,2,2,1,1,"Skipped"
"[[[[Premise]]]]: But to you, who know the truth, I propose to read certain passages which will throw some light on the extraordinary mentality of this great man."" He opened the book, and turned the thin pages.<SPLIT>[[[[Hypothesis]]]]: There is no information on the [[mentality]] of the [[man]], [[extraordinary]] or not, contained within the thin-paged [[book]]. ","[[[[Premise]]]]: But to you, who know the truth, I propose to read certain passages which will throw some light on the extraordinary mentality of this great man."" He opened the book, and turned the thin pages.<SPLIT>[[[[Hypothesis]]]]: There is no information on the [[gist]] of the [[homme]], [[prodigious]] or not, contained within the thin-paged [[livres]]. ",0.0071337223052978516,0.546213686466217,0,2,0,123,"Successful"
"[[[[Premise]]]]: yeah i mean just when uh the they military paid for her education<SPLIT>[[[[Hypothesis]]]]: The military didn't [[pay]] for her education.","[[[[Premise]]]]: yeah i mean just when uh the they military paid for her education<SPLIT>[[[[Hypothesis]]]]: The military didn't [[afford]] for her education.",0.006983518600463867,0.8080644607543945,0,2,0,53,"Successful"
"[[[[Premise]]]]: but uh these guys were actually on the road uh two thousand miles from from home when they had to file their uh their final exams and send them in<SPLIT>[[[[Hypothesis]]]]: These men filed their [[midterm]] exams from home. ","[[[[Premise]]]]: but uh these guys were actually on the road uh two thousand miles from from home when they had to file their uh their final exams and send them in<SPLIT>[[[[Hypothesis]]]]: These men filed their [[median]] exams from home. ",0.5438812971115112,0.7390463352203369,0,1,0,11,"Successful"
"[[[[Premise]]]]: But you have to have money to save it, and not many couples with young children have the luxury of tucking away $2,000 apiece annually for their Golden Years.<SPLIT>[[[[Hypothesis]]]]: Not [[many]] couples with [[kids]] can save up for retirement.","[[[[Premise]]]]: But you have to have money to save it, and not many couples with young children have the luxury of tucking away $2,000 apiece annually for their Golden Years.<SPLIT>[[[[Hypothesis]]]]: Not [[umpteen]] couples with [[children]] can save up for retirement.",0.22686767578125,0.5425037145614624,1,2,1,88,"Successful"
"[[[[Premise]]]]: and uh as a matter of fact he's a draft dodger<SPLIT>[[[[Hypothesis]]]]: They dodged the draft, I'll have you know.","[[[[Premise]]]]: and uh as a matter of fact he's a draft dodger<SPLIT>[[[[Hypothesis]]]]: They dodged the draft, I'll have you know.",0.9883444309234619,0.9883444309234619,0,0,1,1,"Skipped"
"[[[[Premise]]]]: 'Publicity.' Lincoln removed his great hat, making a small show of dusting it off.<SPLIT>[[[[Hypothesis]]]]: Lincoln took his [[hat]] off.","[[[[Premise]]]]: 'Publicity.' Lincoln removed his great hat, making a small show of dusting it off.<SPLIT>[[[[Hypothesis]]]]: Lincoln took his [[millinery]] off.",0.00581592321395874,0.9201820492744446,1,0,1,27,"Successful"
"[[[[Premise]]]]: In the stock market, however, the damage can get much worse.<SPLIT>[[[[Hypothesis]]]]: The stock market can experience much [[worse]] damage. ","[[[[Premise]]]]: In the stock market, however, the damage can get much worse.<SPLIT>[[[[Hypothesis]]]]: The stock market can experience much [[grandest]] damage. ",0.004252016544342041,0.8757438659667969,1,2,1,34,"Successful"
"[[[[Premise]]]]: Missouri was asked to continue its planning efforts and file a supplemental planning report with LSC on or before October 1, 1999.<SPLIT>[[[[Hypothesis]]]]: [[Missouri]] was [[happy]] to continue it's planning efforts. ","[[[[Premise]]]]: Missouri was asked to continue its planning efforts and file a supplemental planning report with LSC on or before October 1, 1999.<SPLIT>[[[[Hypothesis]]]]: [[Kansas]] was [[welcome]] to continue it's planning efforts. ",0.0036771297454833984,0.7686706781387329,2,0,2,27,"Successful"
"[[[[Premise]]]]: He hadn't seen even pictures of such things since the few silent movies run in some of the little art theaters.<SPLIT>[[[[Hypothesis]]]]: [[He]] had [[recently]] seen pictures [[depicting]] those things.","[[[[Premise]]]]: He hadn't seen even pictures of such things since the few silent movies run in some of the little art theaters.<SPLIT>[[[[Hypothesis]]]]: [[It]] had [[newly]] seen pictures [[stressing]] those things.",0.04046642780303955,0.7534996271133423,0,2,0,72,"Successful"
"[[[[Premise]]]]: Look, there's a legend here.<SPLIT>[[[[Hypothesis]]]]: See, there is a well known hero here.","[[[[Premise]]]]: Look, there's a legend here.<SPLIT>[[[[Hypothesis]]]]: See, there is a well known hero here.",0.6582964658737183,0.6582964658737183,2,2,1,1,"Skipped"
"[[[[Premise]]]]: The Celts arrived in the wake of the Roman withdrawal at the end of the fourth century.<SPLIT>[[[[Hypothesis]]]]: At the end of the fourth century was when [[baked]] goods flourished.","[[[[Premise]]]]: The Celts arrived in the wake of the Roman withdrawal at the end of the fourth century.<SPLIT>[[[[Hypothesis]]]]: At the end of the fourth century was when [[cake]] goods flourished.",0.016814768314361572,0.8136380910873413,2,0,2,21,"Successful"
"[[[[Premise]]]]: yeah and how about how about like on the weekends do you do sports or do you go out<SPLIT>[[[[Hypothesis]]]]: No one [[plays]] [[sports]] on the weekend.","[[[[Premise]]]]: yeah and how about how about like on the weekends do you do sports or do you go out<SPLIT>[[[[Hypothesis]]]]: No one [[play]] [[jocks]] on the weekend.",0.04643160104751587,0.5442814826965332,0,2,0,37,"Successful"
"[[[[Premise]]]]: Harlem was our first permanent office, he said. <SPLIT>[[[[Hypothesis]]]]: [[Harlem]] did a [[great]] job ","[[[[Premise]]]]: Harlem was our first permanent office, he said. <SPLIT>[[[[Hypothesis]]]]: [[Brooklyn]] did a [[sizable]] job ",0.007384896278381348,0.8377300500869751,2,0,2,45,"Successful"
"[[[[Premise]]]]: But when the cushion is spent in a year or two, or when the next recession arrives, the disintermediating voters will find themselves playing the roles of budget analysts and tax wonks.<SPLIT>[[[[Hypothesis]]]]: The cushion will likely be spent in under two years.","[[[[Premise]]]]: But when the cushion is spent in a year or two, or when the next recession arrives, the disintermediating voters will find themselves playing the roles of budget analysts and tax wonks.<SPLIT>[[[[Hypothesis]]]]: The cushion will likely be spent in under two years.",0.6043305397033691,0.6043305397033691,2,2,1,1,"Skipped"
"[[[[Premise]]]]: Oh, what a fool I feel! <SPLIT>[[[[Hypothesis]]]]: I am beyond [[proud]].","[[[[Premise]]]]: Oh, what a fool I feel! <SPLIT>[[[[Hypothesis]]]]: I am beyond [[ravi]].",0.014517784118652344,0.9700841307640076,0,1,0,12,"Successful"
"[[[[Premise]]]]: She has exchanged a hollow life for a heightened life, and has tried to comprehend all its turns, get its possibilities.<SPLIT>[[[[Hypothesis]]]]: She has [[chose]] to live a hollow life.","[[[[Premise]]]]: She has exchanged a hollow life for a heightened life, and has tried to comprehend all its turns, get its possibilities.<SPLIT>[[[[Hypothesis]]]]: She has [[choose]] to live a hollow life.",0.23220235109329224,0.7937875986099243,0,1,0,45,"Successful"
"[[[[Premise]]]]: well the first thing for me is i wonder i see a couple of different ways of talking about what privacy is um if privacy is something that disturbs your private state i mean an invasion of privacy is something that disturbs your private state that's one thing and if privacy is something that comes into your private state and extracts information from it in other words finds something out about you that's another and the first kind of invasion of the first type of privacy seems invaded to me in very much everyday in this country but in the second type at least overtly uh where someone comes in and uh finds out information about you that should be private uh does not seem uh um obviously everyday<SPLIT>[[[[Hypothesis]]]]: All invasions of [[privacy]] [[should]] be severely punished, because it will teach the criminals that it is not worth doing.","[[[[Premise]]]]: well the first thing for me is i wonder i see a couple of different ways of talking about what privacy is um if privacy is something that disturbs your private state i mean an invasion of privacy is something that disturbs your private state that's one thing and if privacy is something that comes into your private state and extracts information from it in other words finds something out about you that's another and the first kind of invasion of the first type of privacy seems invaded to me in very much everyday in this country but in the second type at least overtly uh where someone comes in and uh finds out information about you that should be private uh does not seem uh um obviously everyday<SPLIT>[[[[Hypothesis]]]]: All invasions of [[confidentiality]] [[shouldnt]] be severely punished, because it will teach the criminals that it is not worth doing.",0.22089093923568726,0.6574407815933228,2,0,2,49,"Successful"
